YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,TAXI_OUT,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,DIVERTED,CANCELLED
2015,8,21,5,AA,154,ORD,MCO,1835,-4.0,25.0,171.0,1005,2226,-17.0,0,0
2015,8,11,2,EV,5181,DTW,CLE,2000,26.0,13.0,56.0,95,2056,13.0,0,0
2015,1,9,5,B6,28,MCO,EWR,905,-3.0,19.0,150.0,937,1135,-8.0,0,0
2015,11,28,6,UA,298,IAH,LAX,1520,123.0,13.0,230.0,1379,1710,106.0,0,0
2015,1,26,1,EV,4284,DSM,DEN,1932,-3.0,9.0,123.0,589,2035,-26.0,0,0
2015,7,5,7,WN,642,SAN,DEN,2050,-3.0,9.0,135.0,853,5,-18.0,0,0
2015,3,29,7,EV,5391,DTW,MDW,1745,-7.0,16.0,73.0,228,1758,-8.0,0,0
2015,2,18,3,OO,5251,DEN,CID,1230,0.0,17.0,113.0,692,1523,6.0,0,0
2015,7,7,2,DL,1068,ATL,RSW,945,-5.0,21.0,106.0,515,1131,-8.0,0,0
2015,12,26,6,B6,2269,BOS,FLL,1120,-2.0,87.0,215.0,1237,1455,53.0,0,0
2015,9,12,6,AA,1903,CLT,JAX,955,-1.0,32.0,87.0,328,1122,5.0,0,0
2015,5,4,1,WN,457,MDW,PVD,1320,0.0,9.0,130.0,842,1630,-7.0,0,0
2015,12,27,7,AA,1844,ATL,PHL,640,-4.0,15.0,114.0,666,834,0.0,0,0
2015,6,17,3,AS,771,DCA,PDX,1710,-11.0,25.0,357.0,2350,2007,-14.0,0,0
2015,11,10,2,AA,2224,ORD,MSP,1000,-2.0,11.0,85.0,334,1125,-13.0,0,0
2015,9,23,3,WN,2287,LAS,MDW,1320,121.0,12.0,215.0,1521,1855,103.0,0,0
2015,6,23,2,WN,3035,SEA,MKE,1100,0.0,16.0,225.0,1694,1645,-23.0,0,0
2015,4,14,2,DL,1144,DTW,DCA,1520,-6.0,18.0,86.0,405,1646,7.0,0,0
2015,7,29,3,DL,2761,SFO,LAX,1100,29.0,21.0,85.0,337,1225,59.0,0,0
2015,6,21,7,WN,1011,TPA,MDW,550,0.0,8.0,160.0,997,730,5.0,0,0
2015,4,30,4,B6,1716,TPA,LGA,1124,-7.0,12.0,156.0,1010,1400,-25.0,0,0
2015,4,23,4,WN,513,FLL,BWI,1145,-1.0,20.0,165.0,925,1430,-4.0,0,0
2015,4,14,2,AS,672,SEA,DEN,1320,1.0,14.0,152.0,1024,1652,5.0,0,0
2015,10,7,3,DL,939,13487,13485,2149,-7.0,14.0,56.0,228,2245,-9.0,0,0
2015,9,11,5,DL,973,ATL,DEN,1920,-4.0,31.0,200.0,1199,2040,6.0,0,0
2015,9,1,2,EV,6164,LEX,IAH,1847,-13.0,7.0,148.0,828,2015,-17.0,0,0
2015,9,6,7,AA,1570,MIA,SJU,1646,-4.0,13.0,159.0,1045,1925,-14.0,0,0
2015,7,15,3,AA,152,DFW,DCA,850,-2.0,14.0,185.0,1192,1255,-9.0,0,0
2015,8,20,4,OO,4775,SLC,FCA,1544,-10.0,19.0,103.0,531,1727,-9.0,0,0
2015,3,17,2,UA,675,ATL,DEN,1610,-10.0,10.0,216.0,1199,1746,-43.0,0,0
2015,8,10,1,MQ,3131,CID,DFW,721,-7.0,11.0,125.0,685,926,-2.0,0,0
2015,7,11,6,DL,729,FLL,LGA,1051,-10.0,23.0,173.0,1076,1344,-17.0,0,0
2015,7,30,4,AA,1912,RIC,CLT,1759,-4.0,10.0,78.0,257,1917,-18.0,0,0
2015,9,11,5,DL,1455,ATL,LAX,948,-2.0,18.0,288.0,1947,1136,-16.0,0,0
2015,5,18,1,WN,653,HOU,MDW,530,4.0,7.0,145.0,937,755,-2.0,0,0
2015,11,2,1,DL,1307,RIC,ATL,1759,19.0,38.0,114.0,481,1953,44.0,0,0
2015,3,19,4,WN,2597,BWI,JAX,1410,1.0,9.0,120.0,663,1610,-4.0,0,0
2015,2,3,2,DL,2077,VPS,ATL,1433,-4.0,10.0,75.0,250,1648,-22.0,0,0
2015,10,11,7,OO,4522,14457,14869,1910,-9.0,17.0,109.0,508,2059,-9.0,0,0
2015,11,1,7,AA,2352,SFO,DFW,1700,8.0,11.0,205.0,1464,2225,-18.0,0,0
2015,3,10,2,US,1850,MCO,PHL,1020,0.0,17.0,140.0,861,1240,4.0,0,0
2015,11,6,5,OO,6281,DEN,ONT,1130,7.0,17.0,145.0,819,1255,-3.0,0,0
2015,2,28,6,AA,975,MSY,DFW,1448,4.0,7.0,102.0,447,1630,-13.0,0,0
2015,11,2,1,WN,3108,LAX,SAT,1400,15.0,12.0,165.0,1211,1845,10.0,0,0
2015,3,20,5,OO,6496,LAX,COS,2018,5.0,14.0,137.0,833,2335,2.0,0,0
2015,8,6,4,AA,1628,ORD,SEA,710,-1.0,14.0,275.0,1721,945,-3.0,0,0
2015,9,27,7,AA,624,SEA,CLT,2215,23.0,15.0,290.0,2279,605,19.0,0,0
2015,6,21,7,WN,4649,LAS,BWI,1640,136.0,12.0,275.0,2106,15,115.0,0,0
2015,5,25,1,UA,789,BOS,IAH,1645,0.0,11.0,254.0,1597,1959,20.0,0,0
2015,3,24,2,DL,977,ORD,ATL,545,0.0,34.0,125.0,606,850,1.0,0,0
2015,4,6,1,EV,4496,CRP,IAH,1258,-2.0,10.0,62.0,201,1400,-6.0,0,0
2015,6,25,4,AS,660,SEA,DFW,2350,32.0,15.0,220.0,1660,530,35.0,0,0
2015,6,8,1,US,658,LAS,PHL,1105,-9.0,62.0,295.0,2176,1900,39.0,0,0
2015,8,12,3,EV,2617,TXK,DFW,1015,4.0,7.0,60.0,181,1115,11.0,0,0
2015,8,6,4,EV,4922,ELM,DTW,625,-3.0,29.0,84.0,332,749,1.0,0,0
2015,4,12,7,UA,1551,EWR,DEN,1155,8.0,19.0,269.0,1605,1424,-5.0,0,0
2015,5,21,4,B6,1668,CHS,BOS,1430,-9.0,15.0,131.0,818,1641,-13.0,0,0
2015,1,7,3,WN,12,MCI,MDW,1230,-1.0,7.0,80.0,405,1350,-4.0,0,0
2015,12,19,6,UA,1647,STT,ORD,1425,-9.0,20.0,340.0,2116,1805,-39.0,0,0
2015,7,24,5,EV,5364,DTW,ORF,1207,-3.0,14.0,108.0,529,1355,-14.0,0,0
2015,5,14,4,WN,603,LAX,PHX,1650,6.0,6.0,80.0,370,1810,-7.0,0,0
2015,6,19,5,UA,318,SFO,DEN,1615,-1.0,18.0,158.0,967,1953,-24.0,0,0
2015,10,7,3,AS,668,14747,11292,1105,-1.0,25.0,155.0,1024,1440,-2.0,0,0
2015,9,11,5,AA,2213,DFW,LGA,607,-6.0,16.0,203.0,1389,1030,-9.0,0,0
2015,6,18,4,WN,3830,BWI,DTW,2220,128.0,9.0,90.0,409,2350,118.0,0,0
2015,3,31,2,OO,4989,ORD,LNK,1220,-10.0,21.0,106.0,466,1406,-17.0,0,0
2015,1,13,2,UA,1107,MCO,EWR,800,-7.0,15.0,150.0,937,1030,-7.0,0,0
2015,5,10,7,EV,5501,VLD,ATL,700,-3.0,9.0,67.0,208,807,-14.0,0,0
2015,5,17,7,AA,2208,DFW,CLE,1410,12.0,9.0,160.0,1021,1750,-5.0,0,0
2015,12,17,4,F9,681,MCO,DEN,700,38.0,30.0,261.0,1546,921,37.0,0,0
2015,6,30,2,EV,4368,GSO,EWR,942,-5.0,12.0,103.0,445,1125,-21.0,0,0
2015,3,29,7,EV,5155,AEX,ATL,1716,0.0,20.0,99.0,500,1955,8.0,0,0
2015,4,28,2,DL,1085,AVL,ATL,700,-1.0,18.0,64.0,164,804,-7.0,0,0
2015,9,15,2,OO,6284,MEM,IAH,1452,-5.0,27.0,108.0,468,1640,7.0,0,0
2015,1,15,4,WN,651,FLL,BWI,2125,7.0,16.0,150.0,925,2355,6.0,0,0
2015,5,22,5,DL,1553,ATL,DFW,1505,4.0,19.0,149.0,731,1634,-1.0,0,0
2015,8,4,2,WN,1277,TPA,IND,1750,10.0,15.0,135.0,837,2005,15.0,0,0
2015,4,18,6,AA,181,JFK,LAX,1730,-7.0,16.0,386.0,2475,2056,-38.0,0,0
2015,8,3,1,AA,2425,DFW,LAX,1050,0.0,17.0,206.0,1235,1216,-11.0,0,0
2015,3,22,7,OO,2763,SBA,PHX,1235,1.0,15.0,92.0,455,1407,-2.0,0,0
2015,8,26,3,UA,1929,EWR,PHX,1759,-5.0,23.0,330.0,2133,2029,-37.0,0,0
2015,7,10,5,WN,887,DEN,OAK,1230,0.0,17.0,155.0,957,1405,-8.0,0,0
2015,10,12,1,OO,5259,13931,12266,1755,3.0,7.0,196.0,1201,2011,-13.0,0,0
2015,12,26,6,WN,5934,PVD,BWI,1905,-6.0,9.0,85.0,327,2030,-8.0,0,0
2015,4,16,4,OO,4632,MSO,SLC,1303,-3.0,15.0,87.0,436,1430,5.0,0,0
2015,2,21,6,US,708,CLT,LAX,1640,168.0,17.0,329.0,2125,1909,173.0,0,0
2015,5,26,2,US,510,LAS,PHX,1140,-10.0,14.0,67.0,255,1247,-12.0,0,0
2015,5,18,1,US,1730,STL,CLT,750,2.0,37.0,110.0,575,1040,12.0,0,0
2015,11,2,1,AA,1192,DFW,SLC,1740,119.0,14.0,166.0,989,1926,105.0,0,0
2015,3,31,2,WN,670,TUL,MDW,1020,5.0,12.0,95.0,583,1155,11.0,0,0
2015,4,19,7,MQ,3118,DFW,LAW,2200,0.0,26.0,56.0,140,2256,6.0,0,0
2015,6,13,6,WN,1144,MCO,ATL,1620,3.0,14.0,90.0,404,1750,-8.0,0,0
2015,9,4,5,AA,2377,ORD,DEN,1000,-8.0,9.0,156.0,888,1136,-20.0,0,0
2015,2,5,4,MQ,3633,DFW,GRK,1825,-3.0,13.0,46.0,134,1911,-4.0,0,0
2015,7,17,5,B6,1436,LGB,SFO,1642,0.0,15.0,77.0,354,1759,-2.0,0,0
2015,7,28,2,WN,376,BWI,CHS,1355,-1.0,12.0,95.0,472,1530,-13.0,0,0
2015,5,4,1,OO,6390,MCI,SFO,1655,70.0,17.0,242.0,1499,1857,52.0,0,0
2015,12,23,3,B6,2280,EWR,BOS,845,90.0,34.0,70.0,200,955,96.0,0,0
2015,2,12,4,WN,4304,MCI,LAX,845,62.0,7.0,225.0,1363,1030,32.0,0,0
2015,10,13,2,DL,1813,12191,10397,1645,-6.0,14.0,124.0,696,1949,-10.0,0,0
2015,2,3,2,US,759,ORD,CLT,2100,-4.0,40.0,117.0,599,2357,-2.0,0,0
2015,5,15,5,OO,5341,HYS,DEN,1759,-10.0,10.0,76.0,298,1815,-19.0,0,0
2015,6,20,6,AA,222,SNA,DFW,1422,-6.0,9.0,183.0,1205,1925,-18.0,0,0
2015,10,8,4,MQ,3227,12953,15919,2000,-12.0,26.0,194.0,1147,2214,-14.0,0,0
2015,10,13,2,MQ,3343,12478,11042,1455,-9.0,15.0,116.0,425,1651,-31.0,0,0
2015,9,8,2,AA,521,DEN,PHX,1445,74.0,13.0,111.0,602,1536,72.0,0,0
2015,1,25,7,AA,2465,LAX,SFO,2045,-3.0,16.0,82.0,337,2207,-17.0,0,0
2015,12,23,3,UA,1929,EWR,PHX,1647,38.0,14.0,344.0,2133,2031,13.0,0,0
2015,3,16,1,AA,1538,ORD,TUS,920,-9.0,17.0,231.0,1437,1111,-14.0,0,0
2015,1,30,5,NK,761,ORD,MSP,905,2.0,28.0,85.0,334,1030,15.0,0,0
2015,8,5,3,DL,2534,LAX,BOS,910,-6.0,24.0,348.0,2611,1758,-31.0,0,0
2015,12,10,4,WN,1614,PHL,DEN,900,-2.0,12.0,260.0,1558,1120,-20.0,0,0
2015,10,25,7,AA,643,11057,12889,2005,25.0,19.0,285.0,1916,2150,16.0,0,0
2015,1,31,6,EV,5377,DTW,IAH,1210,3.0,21.0,197.0,1075,1427,-17.0,0,0
2015,3,28,6,WN,2401,OMA,DEN,710,-1.0,8.0,100.0,472,750,-20.0,0,0
2015,12,27,7,AA,1918,BOS,PHL,830,-6.0,33.0,95.0,280,1005,8.0,0,0
2015,12,8,2,DL,1606,SLC,DEN,1400,-8.0,14.0,88.0,391,1528,-22.0,0,0
2015,3,27,5,MQ,3551,ORF,MIA,605,170.0,14.0,159.0,802,844,175.0,0,0
2015,7,20,1,WN,2774,MDW,MCI,2005,6.0,7.0,85.0,405,2130,-1.0,0,0
2015,12,31,4,EV,5020,BTR,ATL,1245,-5.0,10.0,83.0,448,1508,-12.0,0,0
2015,5,8,5,WN,861,DEN,MSP,1555,18.0,11.0,110.0,680,1845,10.0,0,0
2015,5,29,5,DL,1717,MSP,ORD,1512,-6.0,24.0,87.0,334,1639,0.0,0,0
2015,10,26,1,AA,155,14771,12892,1012,13.0,15.0,88.0,337,1140,30.0,0,0
2015,4,10,5,WN,910,SAT,DAL,1525,-1.0,6.0,65.0,248,1630,-15.0,0,0
2015,9,11,5,WN,640,BWI,HOU,825,5.0,58.0,200.0,1246,1045,47.0,0,0
2015,8,19,3,OO,5610,SAT,IAH,1902,22.0,10.0,66.0,191,2008,10.0,0,0
2015,3,3,2,DL,2062,MSP,BOS,1715,19.0,10.0,160.0,1124,2055,0.0,0,0
2015,10,2,5,HA,23,13796,13830,700,-5.0,12.0,310.0,2349,910,30.0,0,0
2015,11,18,3,OO,6369,TUS,SFO,840,-3.0,15.0,141.0,751,1001,-4.0,0,0
2015,5,11,1,OO,6256,DEN,FSD,1950,16.0,10.0,89.0,483,2219,7.0,0,0
2015,12,22,2,AA,698,PHX,HNL,1800,-5.0,16.0,409.0,2917,2149,-39.0,0,0
2015,6,8,1,EV,5597,LFT,ATL,1121,-3.0,14.0,108.0,503,1409,-14.0,0,0
2015,2,19,4,DL,2004,LAX,SLC,1645,11.0,21.0,110.0,590,1935,5.0,0,0
2015,2,25,3,DL,1816,ATL,DEN,810,0.0,16.0,205.0,1199,935,-11.0,0,0
2015,9,3,4,VX,960,SFO,SAN,1730,1.0,12.0,90.0,447,1900,-1.0,0,0
2015,2,26,4,EV,4090,BNA,IAH,1433,12.0,12.0,142.0,657,1655,6.0,0,0
2015,7,9,4,AA,1113,LAX,ORD,102,-7.0,22.0,247.0,1744,709,-4.0,0,0
2015,1,6,2,US,1753,CLT,JAX,1145,8.0,25.0,87.0,328,1312,0.0,0,0
2015,8,1,6,EV,2686,DFW,VPS,2025,-3.0,18.0,127.0,641,2232,-18.0,0,0
2015,12,31,4,AA,2470,ORD,LAS,1001,8.0,14.0,240.0,1514,1201,10.0,0,0
2015,7,21,2,WN,1190,OAK,SAN,1855,4.0,7.0,85.0,446,2020,1.0,0,0
2015,12,17,4,OO,5633,COS,DEN,745,5.0,27.0,63.0,73,848,-3.0,0,0
2015,1,23,5,EV,4174,ORF,ORD,1233,-1.0,18.0,143.0,717,1356,14.0,0,0
2015,4,30,4,WN,3834,DAL,SAT,1935,13.0,8.0,60.0,248,2035,4.0,0,0
2015,7,20,1,WN,1247,ALB,MDW,1800,11.0,10.0,135.0,717,1915,4.0,0,0
2015,6,22,1,WN,1470,PIT,TPA,1325,34.0,9.0,140.0,873,1545,18.0,0,0
2015,6,20,6,OO,7381,SLC,COD,1112,-5.0,24.0,75.0,298,1227,-5.0,0,0
2015,2,23,1,UA,1156,RSW,DEN,1550,-2.0,9.0,260.0,1607,1810,-8.0,0,0
2015,10,11,7,DL,2353,10874,10397,615,-1.0,10.0,112.0,528,807,-20.0,0,0
2015,6,21,7,UA,659,IAH,RNO,1002,3.0,14.0,223.0,1530,1145,-3.0,0,0
2015,10,9,5,OO,4717,13487,11637,1746,-7.0,18.0,70.0,223,1856,-9.0,0,0
2015,1,29,4,UA,207,IAH,LAX,1134,-2.0,24.0,228.0,1379,1322,-7.0,0,0
2015,12,10,4,VX,1178,SFO,EWR,1410,-2.0,20.0,320.0,2565,2230,-14.0,0,0
2015,7,30,4,AA,2228,DFW,SMF,910,-4.0,21.0,224.0,1431,1054,-23.0,0,0
2015,7,10,5,WN,5363,FLL,DAL,1425,-6.0,7.0,180.0,1108,1625,-32.0,0,0
2015,12,8,2,EV,6054,JAX,EWR,933,-4.0,20.0,142.0,820,1155,11.0,0,0
2015,6,25,4,AS,384,PDX,SFO,2135,-4.0,11.0,121.0,550,2336,-5.0,0,0
2015,1,21,3,UA,1262,ORD,LAX,1305,25.0,11.0,270.0,1744,1535,-1.0,0,0
2015,11,7,6,OO,4659,FWA,ATL,1500,-4.0,12.0,108.0,508,1648,0.0,0,0
2015,11,29,7,DL,2815,TYS,ATL,1200,4.0,10.0,63.0,152,1303,-7.0,0,0
2015,11,9,1,EV,4302,LGA,CLE,1300,-7.0,11.0,108.0,419,1448,-29.0,0,0
2015,6,5,5,AS,224,PDX,SAN,645,-10.0,17.0,144.0,933,909,-7.0,0,0
2015,4,9,4,AS,520,SEA,BUR,1455,-2.0,20.0,138.0,937,1713,7.0,0,0
2015,7,21,2,EV,4901,LGA,GSO,1825,170.0,62.0,122.0,461,2027,181.0,0,0
2015,6,24,3,AA,2182,DFW,LGA,1400,2.0,20.0,214.0,1389,1834,-14.0,0,0
2015,9,27,7,AA,373,EWR,MIA,805,-4.0,11.0,186.0,1085,1111,-18.0,0,0
2015,6,10,3,HA,177,KOA,HNL,1155,-7.0,8.0,44.0,163,1239,3.0,0,0
2015,5,15,5,AA,986,BDL,DFW,645,-5.0,10.0,243.0,1471,948,-23.0,0,0
2015,12,18,5,AA,1172,BOS,MIA,1815,-3.0,19.0,217.0,1258,2152,24.0,0,0
2015,6,29,1,AA,152,DCA,DFW,1345,3.0,12.0,193.0,1192,1558,2.0,0,0
2015,6,1,1,WN,508,TPA,BHM,1805,22.0,9.0,85.0,459,1830,19.0,0,0
2015,1,13,2,WN,137,DEN,STL,1935,14.0,17.0,115.0,770,2230,18.0,0,0
2015,1,16,5,DL,1745,SMF,MSP,640,-2.0,15.0,212.0,1517,1212,-15.0,0,0
2015,4,28,2,UA,273,SEA,IAH,1148,-3.0,14.0,256.0,1874,1804,4.0,0,0
2015,9,30,3,WN,484,HOU,EWR,1125,41.0,19.0,205.0,1411,1550,34.0,0,0
2015,8,11,2,DL,1597,PHL,MSP,1815,52.0,37.0,186.0,980,2021,43.0,0,0
2015,7,31,5,DL,1325,LAX,MSY,1205,0.0,13.0,234.0,1670,1759,-9.0,0,0
2015,7,20,1,EV,5601,CHS,LGA,1644,-5.0,17.0,125.0,641,1849,4.0,0,0
2015,1,9,5,MQ,3195,ABI,DFW,1750,-9.0,8.0,49.0,158,1839,-11.0,0,0
2015,8,12,3,AA,1992,FLL,DCA,1150,-5.0,10.0,155.0,899,1425,-27.0,0,0
2015,4,10,5,EV,4275,IAH,CRP,1910,-2.0,13.0,59.0,201,2009,1.0,0,0
2015,4,4,6,WN,1823,BWI,IND,1130,-5.0,9.0,105.0,516,1315,-6.0,0,0
2015,4,7,2,DL,743,RDU,ATL,1955,-4.0,10.0,95.0,356,2130,-20.0,0,0
2015,7,6,1,AS,123,SEA,FAI,1350,-10.0,30.0,224.0,1533,1634,8.0,0,0
2015,8,9,7,EV,2638,SHV,DFW,804,-10.0,11.0,66.0,190,910,-7.0,0,0
2015,2,20,5,WN,187,CLE,MDW,845,-7.0,7.0,85.0,307,910,-27.0,0,0
2015,4,9,4,AA,2211,DFW,SNA,2113,22.0,12.0,192.0,1205,2225,22.0,0,0
2015,6,2,2,MQ,3250,ORD,SYR,839,-6.0,17.0,107.0,607,1126,-14.0,0,0
2015,5,11,1,WN,1604,ATL,DCA,710,-3.0,10.0,95.0,547,845,-4.0,0,0
2015,8,16,7,MQ,3480,ORD,DSM,1005,55.0,16.0,74.0,299,1119,45.0,0,0
2015,6,23,2,UA,1923,SNA,EWR,705,198.0,31.0,335.0,2434,1540,269.0,0,0
2015,6,19,5,DL,1844,DTW,DFW,842,14.0,11.0,166.0,986,1028,9.0,0,0
2015,7,31,5,OO,4699,MSP,RAP,1120,0.0,9.0,107.0,489,1207,-13.0,0,0
2015,7,19,7,DL,1370,ATL,ROC,915,21.0,25.0,125.0,749,1120,25.0,0,0
2015,12,24,4,VX,174,SFO,EWR,800,7.0,19.0,330.0,2565,1630,-33.0,0,0
2015,12,9,3,EV,3838,ORD,ROA,1404,8.0,18.0,103.0,531,1647,0.0,0,0
2015,7,21,2,WN,1529,CMH,LAS,1715,39.0,5.0,255.0,1771,1830,32.0,0,0
2015,11,29,7,OO,4535,CVG,ORD,1610,21.0,14.0,80.0,264,1630,16.0,0,0
2015,8,13,4,AA,1579,MIA,IAH,1415,12.0,50.0,161.0,964,1556,46.0,0,0
2015,5,15,5,US,499,CLT,DEN,2235,-5.0,36.0,213.0,1337,8,23.0,0,0
2015,6,7,7,UA,1104,ANC,DEN,2346,56.0,9.0,314.0,2405,700,23.0,0,0
2015,4,12,7,DL,1560,FLL,LGA,1512,36.0,20.0,177.0,1076,1809,34.0,0,0
2015,8,13,4,WN,604,HOU,ELP,1440,-3.0,15.0,115.0,677,1535,-10.0,0,0
2015,11,6,5,OO,4739,LNK,MSP,1308,2.0,17.0,78.0,331,1426,-1.0,0,0
2015,11,21,6,WN,3720,LAS,SAN,945,-6.0,10.0,65.0,258,1050,-13.0,0,0
2015,4,22,3,AA,65,JFK,DFW,1445,-6.0,14.0,243.0,1391,1748,-13.0,0,0
2015,11,2,1,OO,5272,JAX,ORD,1637,-2.0,18.0,153.0,864,1810,3.0,0,0
2015,7,3,5,WN,4787,AUS,DEN,550,-1.0,13.0,130.0,775,700,-1.0,0,0
2015,12,4,5,NK,388,LAS,DTW,1050,-2.0,14.0,234.0,1749,1744,-4.0,0,0
2015,5,25,1,MQ,3317,BNA,ORD,925,-5.0,33.0,103.0,409,1108,14.0,0,0
2015,10,16,5,WN,363,10693,14107,935,-4.0,8.0,230.0,1449,1125,-23.0,0,0
2015,9,20,7,WN,1892,PHX,OKC,1145,-2.0,15.0,125.0,833,1550,-10.0,0,0
2015,10,20,2,UA,1702,13930,12266,1915,-4.0,27.0,165.0,925,2200,3.0,0,0
2015,8,7,5,AA,1636,TUS,ORD,1206,-7.0,12.0,219.0,1437,1745,-2.0,0,0
2015,1,29,4,NK,777,FLL,LAS,2005,-8.0,20.0,332.0,2173,2237,-16.0,0,0
2015,3,18,3,NK,921,LGA,MYR,1140,-1.0,22.0,112.0,563,1332,5.0,0,0
2015,1,13,2,B6,905,JFK,ORD,829,-3.0,16.0,169.0,740,1018,-11.0,0,0
2015,5,28,4,B6,1013,JFK,LGB,1801,1.0,20.0,389.0,2465,2130,-35.0,0,0
2015,7,1,3,WN,379,MSY,HOU,920,1.0,8.0,70.0,302,1030,-2.0,0,0
